ob_id,direction,structure_tag,origin_time,detection_time,pivot_time,pivot_index,origin_index,detection_index,top,bottom,break_level,swing_length,ob_filter,origin_open,origin_high,origin_low,origin_close,parsed_high,parsed_low,width_pips,ob_origin_news_window,ob_detection_news_window,ob_origin_news_event,ob_detection_news_event,ob_origin_news_currency,ob_detection_news_currency,ob_origin_news_impact,ob_detection_news_impact,ob_origin_news_event_time,ob_detection_news_event_time,ob_origin_news_window_start,ob_origin_news_window_end,ob_detection_news_window_start,ob_detection_news_window_end,ob_origin_minutes_from_news,ob_detection_minutes_from_news,ob_final_status,ob_final_status_label,chart_right_time,chart_right_time_source,linked_trade_id,fill_time,exit_time,cancel_time,invalidation_time,protection_trigger_time,news_blackout_trigger_time,reverse_touch_time,session_cancel_time,lifecycle_reason
11,bullish,CHoCH,2015-01-19 08:00:00+00:00,2015-01-19 09:00:00+00:00,2015-01-16 20:00:00+00:00,1049,1097,1101,1.15752,1.15514,1.15892,50,Atr,1.1559,1.15752,1.15514,1.15752,1.15752,1.15514,23.800000000000487,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2606820.0,-2606760.0,loss,LOSS,2015-01-20 17:41:00+00:00,exit_time,L_11,2015-01-20 01:18:00+00:00,2015-01-20 17:41:00+00:00,,,,,,,LOSS
12,bearish,CHoCH,2015-01-19 15:30:00+00:00,2015-01-20 17:30:00+00:00,2015-01-19 08:00:00+00:00,1097,1127,1231,1.16388,1.16256,1.15514,50,Atr,1.16259,1.16388,1.16256,1.1634,1.16388,1.16256,13.199999999999878,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2606370.0,-2604810.0,loss,LOSS,2015-01-21 14:16:00+00:00,exit_time,S_12,2015-01-21 13:54:00+00:00,2015-01-21 14:16:00+00:00,,,,,,,LOSS
13,bullish,CHoCH,2015-01-20 19:30:00+00:00,2015-01-21 14:45:00+00:00,2015-01-19 15:30:00+00:00,1127,1239,1316,1.15525,1.15405,1.16388,50,Atr,1.15439,1.15525,1.15405,1.15506,1.15525,1.15405,12.000000000000899,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2604690.0,-2603535.0,loss,LOSS,2015-01-22 13:40:00+00:00,exit_time,L_13,2015-01-22 13:40:00+00:00,2015-01-22 13:40:00+00:00,,,,,,,LOSS
14,bearish,CHoCH,2015-01-22 11:45:00+00:00,2015-01-22 14:00:00+00:00,2015-01-21 18:00:00+00:00,1329,1400,1409,1.16443,1.16251,1.15621,50,Atr,1.16281,1.16443,1.16251,1.16267,1.16443,1.16251,19.200000000001438,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2602275.0,-2602140.0,loss,LOSS,2015-08-24 13:10:00+00:00,exit_time,S_14,2015-08-24 13:10:00+00:00,2015-08-24 13:10:00+00:00,,,,,,,LOSS
15,bullish,CHoCH,2015-01-27 06:30:00+00:00,2015-01-27 08:30:00+00:00,2015-01-26 17:00:00+00:00,1613,1667,1675,1.12355,1.12237,1.12954,50,Atr,1.12289,1.12355,1.12237,1.12321,1.12355,1.12237,11.799999999999589,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2595390.0,-2595270.0,unknown,UNKNOWN,2015-01-27 08:30:00+00:00,detection_time,L_15,,,,,,,,,state_target_block
16,bearish,CHoCH,2015-02-02 19:00:00+00:00,2015-02-03 05:15:00+00:00,2015-02-02 16:00:00+00:00,2089,2101,2142,1.13551,1.13389,1.1324,50,Atr,1.13412,1.13551,1.13389,1.13481,1.13551,1.13389,16.199999999999548,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2586000.0,-2585385.0,win,WIN,2015-02-03 07:49:00+00:00,exit_time,S_16,2015-02-03 06:57:00+00:00,2015-02-03 07:49:00+00:00,,,,,,,WIN
17,bullish,CHoCH,2015-02-03 09:00:00+00:00,2015-02-03 13:00:00+00:00,2015-02-02 19:00:00+00:00,2101,2157,2173,1.13282,1.13124,1.13551,50,Atr,1.13244,1.13282,1.13124,1.13254,1.13282,1.13124,15.799999999999148,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2585160.0,-2584920.0,win,WIN,2015-02-04 21:43:00+00:00,exit_time,L_17,2015-02-04 21:36:00+00:00,2015-02-04 21:43:00+00:00,,,,,,,WIN
18,bearish,CHoCH,2015-02-03 19:15:00+00:00,2015-02-04 23:15:00+00:00,2015-02-03 09:00:00+00:00,2157,2198,2310,1.14995,1.14879,1.13124,50,Atr,1.14901,1.14995,1.14879,1.14955,1.14995,1.14879,11.600000000000499,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2584545.0,-2582865.0,win,WIN,2015-02-05 19:46:00+00:00,exit_time,S_18,2015-02-05 18:15:00+00:00,2015-02-05 19:46:00+00:00,,,,,,,WIN
19,bearish,BOS,2015-02-09 08:30:00+00:00,2015-02-09 12:30:00+00:00,2015-02-08 22:00:00+00:00,2497,2539,2555,1.13595,1.13451,1.12953,50,Atr,1.1353,1.13595,1.13451,1.13463,1.13595,1.13451,14.400000000001079,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2576550.0,-2576310.0,unknown,UNKNOWN,2015-02-09 12:30:00+00:00,detection_time,S_19,,,,,,,,,state_target_block
20,bearish,BOS,2015-02-11 02:15:00+00:00,2015-02-11 17:15:00+00:00,2015-02-10 12:45:00+00:00,2652,2706,2766,1.13312,1.13254,1.12819,50,Atr,1.13273,1.13312,1.13254,1.13297,1.13312,1.13254,5.799999999998029,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2574045.0,-2573145.0,unknown,UNKNOWN,2015-02-11 17:15:00+00:00,detection_time,S_20,,,,,,,,,state_target_block
21,bullish,CHoCH,2015-02-11 17:15:00+00:00,2015-02-11 21:45:00+00:00,2015-02-11 02:15:00+00:00,2706,2766,2784,1.12881,1.128,1.13312,50,Atr,1.12846,1.12881,1.128,1.12803,1.12881,1.128,8.100000000001994,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2573145.0,-2572875.0,unknown,UNKNOWN,2015-02-11 21:45:00+00:00,detection_time,L_21,,,,,,,,,state_target_block
22,bearish,CHoCH,2015-02-16 07:45:00+00:00,2015-02-16 16:45:00+00:00,2015-02-13 21:45:00+00:00,2976,3017,3053,1.1429,1.14142,1.13852,50,Atr,1.14148,1.1429,1.14142,1.14285,1.1429,1.14142,14.799999999999258,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2566515.0,-2565975.0,loss,LOSS,2015-02-17 11:48:00+00:00,exit_time,S_22,2015-02-17 11:25:00+00:00,2015-02-17 11:48:00+00:00,,,,,,,LOSS
23,bullish,CHoCH,2015-02-16 18:15:00+00:00,2015-02-17 11:45:00+00:00,2015-02-16 07:45:00+00:00,3017,3059,3129,1.1337,1.13193,1.1429,50,Atr,1.1337,1.1337,1.13193,1.13223,1.1337,1.13193,17.699999999998273,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2565885.0,-2564835.0,win,WIN,2015-02-18 18:45:00+00:00,exit_time,L_23,2015-02-18 17:11:00+00:00,2015-02-18 18:45:00+00:00,,,,,,,WIN
24,bearish,CHoCH,2015-02-17 20:30:00+00:00,2015-02-18 07:45:00+00:00,2015-02-17 18:30:00+00:00,3156,3164,3209,1.14203,1.14126,1.13903,50,Atr,1.14128,1.14203,1.14126,1.14181,1.14203,1.14126,7.7000000000015945,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2564310.0,-2563635.0,loss,LOSS,2015-02-19 02:06:00+00:00,exit_time,S_24,2015-02-19 01:43:00+00:00,2015-02-19 02:06:00+00:00,,,,,,,LOSS
25,bullish,CHoCH,2015-02-18 17:00:00+00:00,2015-02-19 02:00:00+00:00,2015-02-17 20:30:00+00:00,3164,3246,3282,1.13463,1.13339,1.14203,50,Atr,1.1341,1.13463,1.13339,1.13395,1.13463,1.13339,12.400000000001299,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2563080.0,-2562540.0,win,WIN,2015-02-20 07:41:00+00:00,exit_time,L_25,2015-02-20 07:11:00+00:00,2015-02-20 07:41:00+00:00,,,,,,,WIN
26,bearish,CHoCH,2015-02-19 15:45:00+00:00,2015-02-20 07:00:00+00:00,2015-02-19 12:30:00+00:00,3324,3337,3398,1.13966,1.13884,1.13552,50,Atr,1.13941,1.13966,1.13884,1.13895,1.13966,1.13884,8.199999999998209,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2561715.0,-2560800.0,loss,LOSS,2015-02-20 17:35:00+00:00,exit_time,S_26,2015-02-20 17:35:00+00:00,2015-02-20 17:35:00+00:00,,,,,,,LOSS
27,bullish,CHoCH,2015-02-20 14:45:00+00:00,2015-02-20 18:00:00+00:00,2015-02-19 15:45:00+00:00,3337,3429,3442,1.12994,1.12883,1.13966,50,Atr,1.12984,1.12994,1.12883,1.12931,1.12994,1.12883,11.099999999999444,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2560335.0,-2560140.0,win,WIN,2015-02-23 10:26:00+00:00,exit_time,L_27,2015-02-23 10:18:00+00:00,2015-02-23 10:26:00+00:00,,,,,,,WIN
28,bearish,CHoCH,2015-02-23 18:30:00+00:00,2015-02-24 08:15:00+00:00,2015-02-23 17:45:00+00:00,3538,3541,3596,1.13518,1.1341,1.13213,50,Atr,1.13416,1.13518,1.1341,1.13487,1.13518,1.1341,10.799999999999699,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2555790.0,-2554965.0,win,WIN,2015-02-24 15:23:00+00:00,exit_time,S_28,2015-02-24 15:15:00+00:00,2015-02-24 15:23:00+00:00,,,,,,,WIN
29,bullish,CHoCH,2015-02-24 17:00:00+00:00,2015-02-25 07:00:00+00:00,2015-02-24 16:00:00+00:00,3627,3631,3687,1.13172,1.13019,1.13581,50,Atr,1.13062,1.13172,1.13019,1.13158,1.13172,1.13019,15.300000000000313,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2554440.0,-2553600.0,unknown,UNKNOWN,2015-02-25 07:00:00+00:00,detection_time,L_29,,,,,,,,,state_target_block
30,bearish,CHoCH,2015-02-26 10:00:00+00:00,2015-02-26 12:15:00+00:00,2015-02-25 13:00:00+00:00,3711,3795,3804,1.13796,1.13659,1.13358,50,Atr,1.13729,1.13796,1.13659,1.13671,1.13796,1.13659,13.700000000000934,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2551980.0,-2551845.0,win,WIN,2015-05-06 15:21:00+00:00,exit_time,S_30,2015-05-06 14:11:00+00:00,2015-05-06 15:21:00+00:00,,,,,,,WIN
31,bearish,BOS,2015-02-27 13:00:00+00:00,2015-03-01 22:30:00+00:00,2015-02-26 18:00:00+00:00,3827,3903,3942,1.12451,1.12328,1.11836,50,Atr,1.12347,1.12451,1.12328,1.12394,1.12451,1.12328,12.299999999998423,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2550360.0,-2546910.0,win,WIN,2015-03-02 15:30:00+00:00,exit_time,S_31,2015-03-02 11:26:00+00:00,2015-03-02 15:30:00+00:00,,,,,,,WIN
32,bearish,BOS,2015-03-02 12:15:00+00:00,2015-03-03 11:45:00+00:00,2015-03-01 23:45:00+00:00,3947,3997,4091,1.12405,1.12292,1.11601,50,Atr,1.12318,1.12405,1.12292,1.12379,1.12405,1.12292,11.300000000000754,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2546085.0,-2544675.0,unknown,UNKNOWN,2015-03-03 11:45:00+00:00,detection_time,S_32,,,,,,,,,state_target_block
33,bearish,BOS,2015-03-03 17:00:00+00:00,2015-03-04 08:30:00+00:00,2015-03-03 12:00:00+00:00,4092,4112,4174,1.12175,1.12082,1.11546,50,Atr,1.12117,1.12175,1.12082,1.12083,1.12175,1.12082,9.300000000000974,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2544360.0,-2543430.0,unknown,UNKNOWN,2015-03-04 08:30:00+00:00,detection_time,S_33,,,,,,,,,state_target_block
34,bearish,BOS,2015-03-04 23:30:00+00:00,2015-03-05 04:45:00+00:00,2015-03-04 15:45:00+00:00,4203,4234,4255,1.1085,1.10786,1.10616,50,Atr,1.10839,1.1085,1.10786,1.10794,1.1085,1.10786,6.399999999999739,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2542530.0,-2542215.0,loss,LOSS,2015-03-05 13:33:00+00:00,exit_time,S_34,2015-03-05 13:33:00+00:00,2015-03-05 13:33:00+00:00,,,,,,,LOSS
35,bearish,BOS,2015-03-05 19:30:00+00:00,2015-03-06 09:00:00+00:00,2015-03-05 17:00:00+00:00,4304,4314,4368,1.1034,1.10265,1.09874,50,Atr,1.1028,1.1034,1.10265,1.10273,1.1034,1.10265,7.500000000000284,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2541330.0,-2540520.0,unknown,UNKNOWN,2015-03-06 09:00:00+00:00,detection_time,S_35,,,,,,,,,state_target_block
36,bearish,BOS,2015-03-09 10:00:00+00:00,2015-03-10 03:00:00+00:00,2015-03-08 22:30:00+00:00,4426,4472,4540,1.09065,1.08903,1.08228,50,Atr,1.08918,1.09065,1.08903,1.09033,1.09065,1.08903,16.199999999999548,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2536140.0,-2535120.0,unknown,UNKNOWN,2015-03-10 03:00:00+00:00,detection_time,S_36,,,,,,,,,state_target_block
37,bearish,BOS,2015-03-12 20:30:00+00:00,2015-03-13 06:15:00+00:00,2015-03-12 17:15:00+00:00,4789,4802,4841,1.06398,1.0632,1.05907,50,Atr,1.06372,1.06398,1.0632,1.06354,1.06398,1.0632,7.800000000000029,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2531190.0,-2530605.0,unknown,UNKNOWN,2015-03-13 06:15:00+00:00,detection_time,S_37,,,,,,,,,state_target_block
38,bullish,CHoCH,2015-03-17 01:15:00+00:00,2015-03-17 12:00:00+00:00,2015-03-16 17:00:00+00:00,4980,5013,5056,1.05575,1.05514,1.06193,50,Atr,1.0557,1.05575,1.05514,1.0552,1.05575,1.05514,6.099999999999994,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2525145.0,-2524500.0,unknown,UNKNOWN,2015-03-17 12:00:00+00:00,detection_time,L_38,,,,,,,,,state_target_block
39,bearish,CHoCH,2015-03-18 01:00:00+00:00,2015-03-18 05:45:00+00:00,2015-03-17 16:15:00+00:00,5073,5108,5127,1.06134,1.06036,1.0584,50,Atr,1.06057,1.06134,1.06036,1.06119,1.06134,1.06036,9.799999999999809,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2523720.0,-2523435.0,loss,LOSS,2015-03-18 07:53:00+00:00,exit_time,S_39,2015-03-18 07:31:00+00:00,2015-03-18 07:53:00+00:00,,,,,,,LOSS
